+---------+
| dept_id |
+---------+
|       3 |
|       6 |
|       4 |
|      10 |
|       9 |
|       8 |
|       2 |
|       0 |
|       7 |
|       5 |
|       1 |
+---------+
11 rows in set (0.00 sec)

+---------+
| dept_id |
+---------+
|       3 |
|       6 |
|       3 |
|       4 |
|      10 |
|       6 |
|       6 |
|       9 |
|       6 |
|       8 |
|       2 |
|       9 |
|       6 |
|       2 |
|       0 |
|       7 |
|       0 |
|       6 |
|       2 |
|       5 |
|       4 |
|       3 |
|       5 |
|       8 |
|       9 |
|       1 |
|       2 |
|       6 |
|      10 |
|       1 |
|       0 |
|       4 |
|      10 |
|       9 |
|       9 |
|       8 |
|       4 |
|       1 |
|       8 |
|       5 |
|       5 |
|       9 |
|       6 |
|       4 |
|       6 |
|       9 |
|       0 |
|       4 |
|       3 |
|      10 |
|       2 |
|       8 |
|       3 |
|       3 |
|       8 |
|       7 |
|       6 |
|       6 |
|       9 |
|       9 |
|       4 |
|       6 |
|       0 |
|       6 |
|       6 |
|       9 |
|       9 |
|       0 |
|       8 |
|       0 |
|       1 |
|       3 |
|       7 |
|       4 |
|       0 |
|       9 |
|       8 |
|       4 |
|       9 |
|       6 |
|       2 |
|       2 |
|       2 |
|       3 |
|       1 |
|       3 |
|       0 |
|       2 |
|       6 |
|       7 |
|       3 |
|       7 |
|       4 |
|       9 |
|       6 |
|       8 |
|       0 |
|       9 |
|       6 |
|       4 |
+---------+
100 rows in set (0.00 sec)

+---------+
| dept_id |
+---------+
|      11 |
+---------+
1 row in set (0.00 sec)

Empty set (0.00 sec)

